epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0136,1.53535,2.76853,2.59037,1.3783,0.53764,0.08722,0.12183,0.05376,0.55802,0.08946,0.13385,0.04792,2.03755,3.92582,3.62763,1.738,0.000659722,0.000659722,0.000659722
2,27.4934,1.62974,2.716,2.15634,1.43194,0.17057,0.20417,0.11112,0.04304,0.18655,0.1875,0.11389,0.03977,2.18536,4.52908,3.27793,1.7786,0.00130997,0.00130997,0.00130997
3,39.4879,1.64258,2.81836,2.04075,1.46466,0.25309,0.20833,0.13442,0.05925,0.23551,0.19167,0.11682,0.04754,2.05919,3.85041,2.93434,1.75746,0.00194373,0.00194373,0.00194373
4,51.4463,1.63407,2.69316,1.92744,1.4515,0.32606,0.2875,0.23102,0.10741,0.32367,0.30833,0.23228,0.09572,1.93133,3.6804,2.69592,1.68701,0.00192575,0.00192575,0.00192575
5,63.4968,1.61402,2.66452,1.86383,1.44694,0.34103,0.19167,0.15017,0.06401,0.30984,0.175,0.12188,0.0508,2.31482,5.76637,3.28921,1.96239,0.001901,0.001901,0.001901
6,75.9635,1.58702,2.59124,1.81368,1.42529,0.41946,0.31667,0.27829,0.12779,0.4223,0.3375,0.29421,0.12293,1.84055,3.06131,2.3487,1.55296,0.00187625,0.00187625,0.00187625
7,87.9612,1.51934,2.50702,1.79522,1.36869,0.46094,0.35,0.31843,0.15445,0.49183,0.33333,0.30497,0.12309,1.92214,3.17006,2.69893,1.63704,0.0018515,0.0018515,0.0018515
8,99.8989,1.49446,2.48361,1.68063,1.39328,0.29677,0.19583,0.13401,0.06276,0.279,0.18381,0.11773,0.05442,2.19513,193.472,3.00934,1.84634,0.00182675,0.00182675,0.00182675
9,111.793,1.45728,2.45405,1.62221,1.3403,0.52704,0.325,0.32839,0.15956,0.5618,0.34583,0.34515,0.15562,1.81931,2.92516,2.22621,1.53682,0.001802,0.001802,0.001802
10,123.788,1.40909,2.35686,1.57329,1.31525,0.51939,0.27917,0.29506,0.15452,0.51476,0.27917,0.30121,0.15436,1.79169,2.82276,2.23151,1.52474,0.00177725,0.00177725,0.00177725
11,135.863,1.43487,2.34589,1.54902,1.31725,0.54454,0.32381,0.33963,0.16237,0.46186,0.33973,0.31231,0.14572,1.85704,3.01281,2.24411,1.55495,0.0017525,0.0017525,0.0017525
12,147.763,1.42029,2.32277,1.53635,1.29956,0.5229,0.40833,0.38689,0.19305,0.55361,0.41667,0.40857,0.1772,1.7199,2.92103,2.04468,1.45675,0.00172775,0.00172775,0.00172775
13,159.699,1.40691,2.31971,1.54546,1.32858,0.4546,0.36667,0.35435,0.18432,0.47844,0.37457,0.35146,0.16238,1.73281,2.84627,2.19599,1.45989,0.001703,0.001703,0.001703
