epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,989.702,1.20512,1.94557,1.16721,1.16822,0.54784,0.42083,0.43883,0.23889,0.56284,0.42916,0.44408,0.22499,1.58712,2.88769,1.92024,1.34023,0.00128225,0.00128225,0.00128225
31,1022.11,1.18001,1.93091,1.16715,1.17686,0.55261,0.41173,0.42147,0.21807,0.54553,0.4125,0.42493,0.21429,1.6284,2.56505,1.87889,1.42375,0.0012575,0.0012575,0.0012575
32,1054.64,1.18931,1.90064,1.15478,1.15976,0.49541,0.4459,0.46472,0.25821,0.50075,0.44167,0.45292,0.24011,1.57694,2.54975,1.67518,1.33858,0.00123275,0.00123275,0.00123275
33,1086.95,1.16378,1.88836,1.21571,1.15774,0.52613,0.42917,0.41843,0.21554,0.50114,0.40833,0.40009,0.20623,1.68862,2.81657,1.85285,1.46675,0.001208,0.001208,0.001208
34,1119.41,1.15427,1.84693,1.09676,1.14829,0.50912,0.42917,0.43109,0.23988,0.49324,0.425,0.42012,0.20583,1.52469,2.75625,1.70918,1.36706,0.00118325,0.00118325,0.00118325
35,1151.94,1.13449,1.8184,1.09099,1.13874,0.51914,0.45434,0.46855,0.26423,0.52894,0.425,0.4438,0.24263,1.55181,2.6932,1.62773,1.37327,0.0011585,0.0011585,0.0011585
36,1184.48,1.17383,1.86895,1.14091,1.1523,0.56163,0.45,0.43679,0.24212,0.55049,0.43333,0.4435,0.225,1.60652,2.86268,1.72152,1.37474,0.00113375,0.00113375,0.00113375
37,1216.85,1.12518,1.80117,1.1224,1.12757,0.56021,0.43523,0.45733,0.24507,0.56021,0.43523,0.45087,0.22167,1.57768,2.74911,1.67987,1.37058,0.001109,0.001109,0.001109
38,1249.35,1.14853,1.81238,1.07647,1.14253,0.54234,0.49167,0.45681,0.24871,0.55744,0.49167,0.46524,0.24077,1.53135,2.71351,1.64914,1.32822,0.00108425,0.00108425,0.00108425
39,1281.77,1.1337,1.80005,1.03435,1.1354,0.57788,0.45833,0.47499,0.2629,0.58761,0.41667,0.44808,0.23621,1.54364,2.54878,1.54182,1.35534,0.0010595,0.0010595,0.0010595
40,1314.07,1.12284,1.77468,1.01728,1.13772,0.55248,0.44238,0.46356,0.26109,0.56869,0.42083,0.45816,0.24329,1.56887,2.55342,1.63624,1.36064,0.00103475,0.00103475,0.00103475
41,1346.51,1.12794,1.78853,1.04659,1.12941,0.60302,0.4375,0.48402,0.28041,0.60114,0.41667,0.46661,0.24346,1.44024,2.56712,1.53,1.29348,0.00101,0.00101,0.00101
42,1378.91,1.13876,1.79594,1.03023,1.14174,0.546,0.4875,0.51252,0.29026,0.5681,0.49583,0.50941,0.25895,1.5432,2.56061,1.49223,1.36048,0.00098525,0.00098525,0.00098525
43,1411.79,1.09512,1.77271,1.00098,1.11155,0.55939,0.45833,0.48186,0.26715,0.58563,0.45,0.47458,0.23945,1.50022,2.75101,1.56101,1.34677,0.0009605,0.0009605,0.0009605
44,1444.22,1.09509,1.76197,0.99781,1.11049,0.59904,0.425,0.45016,0.24834,0.5729,0.42477,0.44247,0.237,1.57172,2.89144,1.7425,1.38601,0.00093575,0.00093575,0.00093575
45,1476.63,1.08842,1.72772,0.97288,1.11533,0.5575,0.40417,0.42186,0.23455,0.5787,0.3892,0.42332,0.21973,1.56974,2.69839,1.51959,1.35053,0.000911,0.000911,0.000911
