epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,361.567,1.16064,1.79795,1.11006,1.12259,0.64907,0.4375,0.48748,0.25332,0.65525,0.44167,0.49983,0.2371,1.63271,2.78071,1.75987,1.35791,0.00641125,0.00641125,0.00641125
31,373.473,1.14353,1.81193,1.09318,1.13767,0.63475,0.40417,0.45337,0.25135,0.6369,0.4,0.4395,0.22202,1.55051,2.67071,1.65706,1.33972,0.0062875,0.0062875,0.0062875
32,385.584,1.13191,1.78404,1.07971,1.11305,0.62398,0.42178,0.47906,0.26376,0.58871,0.40417,0.45062,0.24268,1.5512,2.66102,1.59069,1.3164,0.00616375,0.00616375,0.00616375
33,397.494,1.11236,1.74484,1.11044,1.10718,0.52762,0.42917,0.44355,0.24419,0.55556,0.4375,0.46483,0.23975,1.61196,2.66154,1.66223,1.34328,0.00604,0.00604,0.00604
34,409.38,1.11419,1.72731,1.03523,1.10861,0.59707,0.41667,0.45722,0.24692,0.59707,0.41667,0.4554,0.22354,1.55446,2.71407,1.71637,1.31419,0.00591625,0.00591625,0.00591625
35,421.28,1.08946,1.70059,1.04041,1.09768,0.53104,0.46667,0.46305,0.26475,0.48065,0.52083,0.47658,0.26066,1.56176,2.74082,1.60057,1.30788,0.0057925,0.0057925,0.0057925
36,433.268,1.12367,1.75691,1.07682,1.10834,0.63858,0.38282,0.45493,0.26307,0.62293,0.35833,0.44375,0.23989,1.53874,2.62135,1.69857,1.31565,0.00566875,0.00566875,0.00566875
37,445.159,1.07538,1.66961,1.06341,1.08385,0.52603,0.475,0.46448,0.27075,0.57599,0.425,0.4671,0.24706,1.53706,2.67036,1.66852,1.31129,0.005545,0.005545,0.005545
38,457.253,1.0862,1.68791,1.00088,1.09502,0.42636,0.42917,0.41716,0.24788,0.52182,0.35,0.40768,0.22423,1.49654,2.62679,1.67797,1.30688,0.00542125,0.00542125,0.00542125
39,469.154,1.08401,1.69613,0.97611,1.09389,0.47683,0.4937,0.46661,0.26687,0.49442,0.45229,0.45505,0.24882,1.44346,2.51416,1.62894,1.23275,0.0052975,0.0052975,0.0052975
40,481.057,1.05821,1.64989,0.93294,1.08968,0.58677,0.43191,0.46546,0.2479,0.54694,0.44583,0.46901,0.24748,1.60318,2.71419,1.67494,1.34537,0.00517375,0.00517375,0.00517375
41,492.98,1.0705,1.66507,0.98123,1.0819,0.59096,0.41537,0.46656,0.25023,0.56181,0.39532,0.43543,0.2252,1.57203,2.52871,1.63383,1.2887,0.00505,0.00505,0.00505
42,504.893,1.07088,1.67742,0.94417,1.08955,0.59907,0.42337,0.44405,0.24788,0.5637,0.39837,0.41305,0.21946,1.53246,2.80687,1.7026,1.31257,0.00492625,0.00492625,0.00492625
43,516.822,1.04872,1.6533,0.93377,1.07049,0.5624,0.44583,0.46191,0.25836,0.54568,0.43333,0.44224,0.22273,1.5206,2.71437,1.6029,1.32285,0.0048025,0.0048025,0.0048025
